source,target,weight
user6,user2,4
user6,user5,2
user1,user15,1
user4,user3,7
user13,user16,8
user13,user10,8
user7,user5,1
user2,user21,5
user2,user20,5
user21,user2,5
user21,user1,8
user21,user10,8
user21,user8,9
user21,user3,7
user17,user3,5
user17,user23,1
user10,user1,8
user10,user6,7
user10,user21,8
user10,user8,1
user10,user25,10
user10,user2,7
user10,user3,7
user4,user26,1
user26,user4,1
user5,user1,3
user5,user6,3
user5,user7,1
user1,user5,4
user6,user4,2
user4,user6,5
user2,user4,5
user17,user28,1
user17,user13,2
user13,user17,2
user13,user29,2
user29,user13,2
user17,user20,2
user4,user31,1
user31,user4,2
user32,user6,1
user13,user1,8
user7,user34,1
user34,user7,1
user32,user1,1
user1,user32,1
user1,user34,1
user34,user1,1
user34,user13,1
user13,user34,1
user6,user7,5
user7,user6,3
user1,user17,9
user1,user31,2
user31,user1,3
user35,user6,2
user1,user13,3
user36,user37,1
user37,user36,1
user35,user1,1
user17,user1,9
user8,user1,3
user7,user29,2
user1,user20,2
user37,user44,1
user44,user37,1
user39,user45,1
user39,user7,3
user39,user44,1
user44,user39,1
user23,user17,1
user23,user19,1
user36,user46,1
user46,user36,1
user47,user1,2
user13,user7,1
user7,user13,1
user29,user51,1
user51,user29,1
user29,user52,1
user52,user29,1
user45,user39,2
user45,user53,2
user53,user45,2
user45,user54,2
user54,user45,2
user1,user54,1
user54,user1,1
user7,user3,6
user36,user41,2
user41,user36,2
user36,user21,2
user21,user36,2
user7,user36,3
user36,user7,4
user7,user53,4
user53,user7,4
user7,user55,1
user55,user7,1
user29,user7,2
user4,user57,5
user39,user21,2
user21,user39,2
user4,user61,2
user61,user4,3
user61,user20,8
user61,user2,2
user35,user65,1
user65,user35,2
user56,user1,2
user1,user56,2
user4,user66,2
user66,user4,2
user21,user7,5
user7,user20,4
user35,user69,1
user35,user70,1
user39,user69,2
user69,user39,2
user69,user35,2
user1,user71,1
user71,user1,8
user7,user28,2
user28,user7,1
user4,user72,4
user1,user74,1
user74,user1,1
user41,user75,1
user68,user64,1
user76,user7,1
user7,user76,1
user7,user19,5
user32,user23,1
user23,user32,1
user23,user20,1
user61,user77,4
user1,user78,1
user78,user1,1
user60,user41,1
user41,user60,1
user78,user60,1
user60,user78,1
user57,user4,2
user23,user69,1
user69,user23,1
user64,user68,1
user35,user79,1
user79,user35,1
user41,user4,1
user4,user41,1
user1,user68,2
user68,user1,2
user69,user28,3
user28,user69,3
user64,user80,1
user17,user81,1
user81,user17,1
user69,user62,1
user62,user69,1
user41,user83,1
user41,user104,1
user83,user41,1
user41,user86,1
user86,user41,1
user104,user41,1
user4,user87,1
user87,user4,1
user81,user69,2
user69,user81,2
user41,user89,1
user89,user41,1
user60,user87,1
user87,user60,1
user7,user89,2
user89,user7,2
user64,user94,1
user41,user70,1
user94,user64,1
user70,user95,1
user95,user70,3
user70,user41,1
user70,user35,1
user39,user17,3
user17,user39,1
user70,user96,1
user96,user70,3
user15,user97,2
user97,user15,2
user69,user99,4
user99,user69,1
user88,user7,3
user1,user81,1
user70,user15,1
user15,user70,1
user81,user1,1
user1,user101,1
user62,user54,2
user54,user62,2
user101,user1,1
user100,user101,1
user101,user103,1
user80,user25,2
user100,user60,2
user39,user4,1
user4,user39,1
user41,user105,1
user72,user4,4
user96,user106,1
user106,user96,1
user81,user107,2
user107,user81,3
user60,user108,1
