Name	PairID	Coreness
0	0	0.000000
2	0	1.000000
7	0	1.000000
13	0	0.000000
22	0	1.000000
30	0	1.000000
55	0	1.000000
71	0	0.000000
1	1	1.000000
16	1	1.000000
33	1	1.000000
39	1	0.000000
66	1	0.000000
67	1	1.000000
79	1	0.000000
3	2	0.000000
6	2	1.000000
29	2	1.000000
35	2	0.000000
38	2	0.000000
53	2	1.000000
73	2	0.000000
77	2	1.000000
4	3	1.000000
14	3	0.000000
17	3	1.000000
23	3	0.000000
45	3	1.000000
58	3	0.000000
60	3	0.000000
5	4	1.000000
8	4	0.000000
10	4	1.000000
11	4	0.000000
12	4	0.000000
19	4	0.000000
24	4	1.000000
28	4	0.000000
40	4	1.000000
43	4	1.000000
44	4	0.000000
49	4	0.000000
51	4	0.000000
57	4	1.000000
61	4	1.000000
65	4	1.000000
70	4	1.000000
9	5	1.000000
15	5	1.000000
18	5	1.000000
20	5	1.000000
21	5	1.000000
25	5	1.000000
26	5	1.000000
27	5	1.000000
31	5	0.000000
32	5	1.000000
34	5	1.000000
36	5	0.000000
41	5	1.000000
42	5	1.000000
46	5	1.000000
47	5	0.000000
48	5	1.000000
50	5	1.000000
52	5	1.000000
54	5	1.000000
56	5	0.000000
59	5	1.000000
62	5	1.000000
63	5	1.000000
64	5	1.000000
68	5	1.000000
69	5	0.000000
72	5	1.000000
74	5	1.000000
75	5	0.000000
76	5	0.000000
78	5	1.000000
37	6	0.000000
